u,g,r,i,z,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,petroRad_u,petroRad_g,petroRad_i,petroRad_r,petroRad_z,petroFlux_u,petroFlux_g,petroFlux_i,petroFlux_r,petroFlux_z,petroR50_u,petroR50_g,petroR50_i,petroR50_r,petroR50_z,psfMag_u,psfMag_r,psfMag_g,psfMag_i,psfMag_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,subclass,redshift,redshift_err
19.10899,18.12032,17.66409,17.29489,17.25151,22.71898,56.47699,85.97306,120.7929,125.7132,4.063991,3.44992,3.889376,4.213641,3.115702,19.33049,45.9753,105.6469,74.53784,113.7936,1.83191,1.545782,1.757647,1.916197,1.840312,19.91458,18.64243,19.13536,18.43003,18.36817,0.5861368,0.8814711,0.9588432,0.8659583,0.8680184,STARBURST,0.07393543,9.82e-06
17.98769,16.77589,16.29319,15.99005,15.7764,63.81477,194.8243,303.8947,401.7731,489.1479,8.725129,7.886775,7.423381,7.9032,7.559062,69.56098,190.8245,372.8831,295.8588,438.2078,4.186458,3.893778,3.613108,3.790674,3.470453,20.20363,18.43371,18.89036,18.29776,18.05415,0.6320993,0.6088541,0.6285451,0.6302101,0.6399376,STARFORMING,0.0463577,8.07e-06
19.76225,18.23318,17.56566,17.17492,16.95604,12.44638,50.90107,94.13187,134.9057,165.0354,5.559663,5.446738,4.986095,5.278369,5.209351,11.27341,49.08054,121.8751,87.82053,155.6661,2.432915,2.539255,2.313971,2.387113,2.337284,21.78563,19.56833,20.16372,19.12654,19.00684,0.4108296,0.4571362,0.4500031,0.4539715,0.4599128,STARFORMING,0.08382282,1.16e-05
22.15477,20.59387,19.41348,18.68262,18.31862,1.360077,5.785578,17.16267,33.64644,47.03733,27.92433,3.811585,3.417875,5.2934,4.320763,3.651407,5.011867,30.19871,17.09133,41.34435,6.023662,1.64697,1.94969,2.200819,1.723364,23.53953,20.63917,21.9831,20.04382,19.91086,0.05,0.7499977,0.955829,0.9185891,0.7582687,STARFORMING,0.322705,4.43e-05
17.92463,16.69427,16.17703,15.8142,15.81893,67.63103,210.0346,338.2123,472.4109,470.3542,6.155007,6.41926,6.759892,6.909614,6.215717,58.44103,200.0997,454.3761,313.9681,400.2128,3.216927,3.465293,3.481639,3.453692,3.114803,19.44707,17.75649,18.50801,17.52791,17.34416,0.818486,0.9169671,0.9044905,0.8876038,0.8688883,STARFORMING,0.08415862,1.03e-05
18.39972,17.55779,17.35634,17.24448,17.24862,43.66254,94.81615,114.1466,126.5344,126.0486,6.911371,8.04894,7.804181,7.873921,6.99133,27.53945,67.53443,89.4892,80.43954,90.35278,2.942054,3.330309,3.292483,3.216323,3.188564,20.77499,20.08877,20.16039,20.10115,19.93871,0.5046952,0.6648711,0.6641761,0.6933562,0.7319604,STARBURST,0.0241703,5.02e-06
18.62638,17.40412,16.79442,16.42558,16.17455,35.43571,109.2324,191.5275,269.0097,338.9816,7.54994,7.313004,6.986883,6.985206,6.512181,36.48833,109.9127,258.9402,185.4422,284.2019,3.79185,3.672695,3.474781,3.483869,3.117269,20.43229,19.1594,19.62373,18.90748,18.62658,0.737982,0.7348663,0.7483009,0.7314068,0.7189629,STARFORMING,0.07315346,1.07e-05
18.61889,17.54603,17.10259,16.75833,16.64108,35.68111,95.84875,144.1988,198.0005,220.5784,4.351667,4.878502,4.637547,4.991858,4.512153,34.1941,95.20384,195.536,149.2575,200.2746,2.229485,2.290576,2.226279,2.345057,2.06898,19.97318,18.73592,19.08078,18.36309,18.17507,0.7269869,0.7146167,0.7152442,0.7237399,0.6673953,STARBURST,0.1105072,6.57e-06
19.68096,18.40734,17.72483,17.38244,17.08343,13.41434,43.35733,81.29536,111.4355,146.7632,4.130895,5.374497,5.193214,5.63193,5.775126,7.801816,39.04166,101.89,77.53532,149.8195,1.669886,2.496288,2.431093,2.557459,2.750266,21.32884,19.77236,20.12378,19.509,19.1586,0.3206416,0.3079054,0.3287843,0.3021191,0.2999381,STARFORMING,0.05684438,9.59e-06
20.30527,18.71443,17.69156,17.20544,16.87819,7.546411,32.67558,83.82575,131.1663,177.3024,3.655871,4.219017,3.453581,3.783279,3.300664,6.438954,31.28788,121.7414,79.28238,160.4147,1.692972,1.925597,1.689417,1.767413,1.672108,21.21169,18.61198,19.5394,18.16524,17.88036,0.6499291,0.6782261,0.7060288,0.6958414,0.7569774,STARFORMING,0.162013,2.39e-05
