u,g,r,i,z,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,petroRad_u,petroRad_g,petroRad_i,petroRad_r,petroRad_z,petroFlux_u,petroFlux_g,petroFlux_i,petroFlux_r,petroFlux_z,petroR50_u,petroR50_g,petroR50_i,petroR50_r,petroR50_z,psfMag_u,psfMag_r,psfMag_g,psfMag_i,psfMag_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,redshift,redshift_err
19.84016,18.25615,17.54087,17.21063,17.07956,11.58438,49.83557,96.30538,130.5405,147.2873,6.131304,7.919779,7.395367,8.159214,6.074095,6.428157,51.07743,109.6248,89.71577,102.6007,2.779269,4.067818,3.450169,3.835674,3.001821,22.04644,19.80006,20.79524,19.48049,19.31109,0.6499988,0.8539921,0.7936479,0.7826605,0.849614,0.1335832,3.55e-05
17.85961,16.55176,16.0618,15.79144,15.61029,71.80502,239.495,376.0782,482.4206,570.013,10.68696,12.05292,12.4076,12.33544,11.79613,56.2277,235.8577,474.074,362.118,484.6235,4.830025,5.885798,5.879713,5.794782,5.118765,20.86733,19.04441,19.50733,18.90367,18.71321,0.4894241,0.5187718,0.4884632,0.4823144,0.4823917,0.02947876,1.5e-05
19.42781,18.43576,17.70538,17.30164,17.06894,16.93739,42.23716,82.76497,120.0449,148.7349,3.569188,3.636703,3.478367,3.592573,3.591357,16.73347,44.57883,120.811,85.05094,147.375,1.788745,1.805249,1.632901,1.731487,1.661332,20.59856,18.92436,19.67915,18.55746,18.32169,0.8444648,0.9712848,0.955102,0.9733207,0.8418233,0.1830069,1.08e-05
18.66453,17.85145,17.48166,17.24563,17.1098,34.21225,72.3468,101.7037,126.4004,143.2414,2.714479,2.926654,3.019008,2.976307,3.30067,33.36922,70.31316,129.9014,103.7142,149.0941,1.385009,1.43922,1.46923,1.470083,1.533054,19.44645,18.48136,18.59854,18.31281,18.07239,0.8442756,0.9385957,0.9762812,0.9935274,0.9329019,0.03313643,4.92e-06
15.97654,14.572,13.95434,13.62109,13.39244,406.8018,1483.198,2619.771,3560.935,4395.651,24.87294,23.15483,22.81517,23.17046,21.7286,463.3941,1500.873,3551.444,2615.476,4171.774,11.30999,10.75887,10.46766,10.38521,9.787159,19.70821,17.87576,18.43031,17.49365,17.17471,0.883015,0.8509904,0.8542704,0.8482301,0.8542557,0.02691079,1.39e-05
18.00449,17.13456,16.72075,16.4544,16.30036,62.83527,140.016,204.9747,261.9634,301.8921,2.33254,3.142904,3.753206,3.697287,4.043272,43.06545,109.8251,222.0455,173.2388,259.476,1.2025,1.510087,1.703099,1.683134,1.718781,19.26367,18.41163,18.53099,18.22386,17.99513,0.7868766,0.842271,0.9293151,0.9423134,0.8842,0.04620111,6.3e-06
21.51823,20.23201,19.48226,18.80563,18.53104,2.462134,8.075025,16.10913,30.04237,38.67452,2.249226,2.950786,2.576006,2.875696,2.798391,1.639328,8.024139,28.2458,15.83573,34.39005,0.9941242,1.445944,1.339475,1.371052,1.307991,22.29031,20.64746,21.31119,19.93106,19.60862,0.3716607,0.8146036,0.8521251,0.7896379,0.7368814,0.3424549,4.25e-05
17.92797,16.92049,16.56754,16.26023,16.11236,67.42338,170.5318,236.0385,313.2619,358.9658,5.369801,5.953804,5.907344,6.075488,5.97199,61.00305,178.2093,328.7169,250.804,355.4916,2.481942,2.976969,2.910884,3.01247,2.820511,19.3259,18.27017,18.63083,18.07541,17.83156,0.4677662,0.5111748,0.4663799,0.4626938,0.4270082,0.05806989,6.52e-06
20.10531,18.8254,17.66084,17.14474,16.80369,9.07348,29.50103,86.23103,138.7086,189.8968,27.91758,4.959085,4.248379,4.765194,4.273184,11.12559,26.44927,116.2928,77.51451,156.495,3.591365,2.105198,1.871717,2.038163,1.892412,21.4282,19.22906,20.21683,18.63976,18.23777,0.9205446,0.9314628,0.968107,0.9672554,0.8831995,0.24174,1.84e-05
18.36067,17.29162,16.79148,16.42323,16.25966,45.26119,121.1575,192.0474,269.5918,313.4254,5.963645,6.687576,5.652758,6.156938,5.15172,45.02991,130.0869,267.1069,196.7031,261.9637,2.908812,3.126782,2.776948,2.923241,2.379522,19.99336,18.59319,19.0992,18.2575,18.07256,0.7309504,0.8166532,0.8401904,0.8289092,0.8223789,0.08438084,7.43e-06
19.23943,17.87998,17.30781,16.97942,16.75335,20.14682,70.47076,119.3648,161.5213,198.9085,4.323636,4.370146,4.249549,4.267915,4.436376,22.80256,71.07975,152.9065,114.3307,186.5125,2.506332,2.400033,2.221103,2.258955,2.255544,21.16855,19.4353,19.96555,19.17107,18.8215,0.8015749,0.813939,0.8129498,0.8223281,0.7709282,0.09738023,1.02e-05
17.41356,15.72812,14.92423,14.5325,14.22667,108.287,511.3898,1072.283,1538.158,2038.596,10.33102,10.31924,10.24454,10.24049,9.659622,84.24126,405.2659,1185.519,833.007,1521.863,4.723394,4.790172,4.607979,4.687742,4.434353,19.69598,17.28303,18.0905,16.93494,16.679,0.5500004,0.5269156,0.5572771,0.5355512,0.5423778,0.02848889,1.07e-05
19.17662,17.836,17.26799,16.90506,16.67325,21.34675,73.38344,123.8233,172.9716,214.1389,4.988556,5.793448,5.140905,5.51112,5.297546,20.10483,76.17453,172.8782,127.844,213.7809,2.240302,2.622053,2.412916,2.519398,2.421337,20.84757,19.16264,19.67599,18.78098,18.44052,0.540945,0.4241546,0.4420546,0.4545023,0.4729087,0.07520992,7.13e-06
17.8923,16.76511,16.26792,15.93498,15.77868,69.67539,196.7685,311.0522,422.6768,488.1214,5.900955,6.442885,6.571103,6.607281,6.443319,65.23362,193.608,414.8926,310.968,450.271,2.97391,3.219918,3.157184,3.202254,2.985636,19.74497,18.19279,18.55047,17.9406,17.66394,0.8640404,0.9109782,0.9086353,0.8710777,0.8605459,0.08094505,7.65e-06
19.42918,17.93171,17.02117,16.53683,16.19629,16.91606,67.1916,155.4287,242.8113,332.262,18.02051,5.183544,4.417645,4.597026,4.266945,17.37905,58.61094,193.0414,129.5438,274.3836,2.792172,2.336102,1.988799,2.09971,2.14525,20.65997,18.26954,19.13525,17.77123,17.35398,0.3536072,0.4297775,0.4151575,0.4247102,0.4254392,0.1065608,2.09e-05
18.93721,17.73006,17.24807,17.03372,16.84162,26.61351,80.90532,126.1163,153.6427,183.377,10.38081,10.8748,9.277408,9.871063,9.187483,33.31398,96.97221,149.6307,132.9499,183.4036,4.739974,4.802248,3.778489,4.217247,3.863499,21.30455,19.7035,20.32051,19.62832,19.42059,0.8151112,0.9756818,0.9329202,0.8766761,0.8723171,0.01971166,1.26e-05
18.98989,17.76729,17.2592,16.94339,16.72694,25.3532,78.17812,124.83,166.9718,203.8071,8.609524,8.348411,8.196452,8.012877,7.018419,29.3717,84.52628,162.8754,129.677,175.8314,4.029772,3.865636,3.403181,3.615064,2.990857,20.94601,19.64479,20.0823,19.30317,18.98516,0.7433111,0.6342936,0.6854025,0.6861474,0.6758359,0.0295366,1.3e-05
19.51303,18.19604,17.19126,16.72454,16.40031,15.65854,52.67244,132.8909,204.2607,275.3412,4.929952,3.905546,4.19645,4.360673,4.239085,12.2112,40.3186,158.183,106.6404,215.0792,2.03139,1.903898,1.960358,2.065296,2.015264,21.03427,18.81018,19.82588,18.43383,17.97677,0.5499679,0.6517622,0.639042,0.6400623,0.6847738,0.194199,3.32e-05
19.43004,18.23551,17.70836,17.37285,17.18593,16.90267,50.79195,82.53786,112.4238,133.5405,3.886191,3.73187,3.599462,3.65501,4.129112,18.86884,51.76601,109.8425,82.35497,145.3934,1.977249,1.880814,1.739765,1.783315,1.977832,21.05091,19.37347,19.79789,19.10573,18.83508,0.4803963,0.5475565,0.5652403,0.5497058,0.6188198,0.1025187,6.73e-06
18.12983,16.81709,16.12946,15.73938,15.4578,55.98441,187.571,353.3597,506.1137,655.9638,9.220432,8.998342,8.752447,9.06059,8.141255,63.05379,201.7406,510.5208,361.9097,620.5349,4.764249,4.391569,4.083395,4.137564,3.874845,20.2839,18.3456,18.97374,17.86671,17.52938,0.7331683,0.7403433,0.7194535,0.7149749,0.7126525,0.05441667,1.18e-05
22.26361,22.21531,21.40901,21.57018,21.468,1.227483,1.293567,2.726204,2.340889,2.375344,1.053123,1.676948,1.287789,1.237258,0.8905701,1.017585,1.383385,2.05987,2.85398,1.566315,0.562447,0.7600642,0.5662187,0.6398006,0.438231,22.17116,21.56092,22.31636,21.72692,21.50279,0.2665957,0.8403707,0.6493365,0.09371775,0.09459954,0.319065,1.57e-05
22.45584,21.45819,20.99487,20.35435,19.93589,1.022694,2.607404,3.996311,7.210908,10.55666,1.619531,2.969807,5.760698,7.358581,3.957103,1.256003,2.004723,11.05766,3.987636,7.560679,3.080465,1.059984,2.517156,1.469133,0.9024261,23.38102,22.06954,22.50534,21.54889,20.89061,0.05,0.5748075,0.4083343,0.5229542,0.05,0.4899184,3.12e-05
19.23544,17.9503,17.34762,16.90219,16.62815,20.22097,66.05115,115.0668,173.4301,223.2205,7.657943,6.875792,4.62749,6.05639,3.936159,20.3921,59.3659,118.5819,94.07504,126.5744,3.157664,2.881236,1.970012,2.540247,1.595995,21.37784,19.4519,20.22828,18.96595,18.54505,0.4170252,0.5035169,0.480991,0.4598261,0.4405566,0.0731359,5.95e-06
